"","stationcode","DS_Tim","SP_Dur","SP_Mag","SP_ROC","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim","DS_Dur_WS","DS_Mag_50","DS_Mag_90","Q99","FA_Dur","FA_Mag","FA_Tim"
"36","403S07024",-1,-1,-0.7999,0,0,0,0.77135,1.7268,-1,-2,0.143,0.04695,1.0021,0.5,7.47335,-4.5
"37","403S07227",0,0,0.94815,0,0,0,-0.0067,-0.0336,0,0,-0.0164,-0.0226,1.0313,0,4.7333,0
"38","403S16332",0,0,-0.4467,0,0,0,0.0542,-0.58565,0,-1,0.22105,0.0632,2.32875,0.5,-51.47165,-30.5
"39","403STC009",0,0,-0.5249,0,0,0,0.139,-0.761,0,-3,0.1069,0.0573,2.44515,0.5,-49.07295,-30.5
"40","403STC070",0,0,1.0701,0,0,0,-0.0062,0.0573,0,0,-0.0477,-0.0209,0.586,0,3.4392,0
"41","403WE0501",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"42","403WE0534",-1,-1,-0.7786,0,0,0,0.6468,0.5889,-1,-1,0.11705,0.0464,1.0244,1,12.7679,0
"43","403WE0540",0,0,-0.00115,0,0,0,0,-3e-04,0,0.5,2e-04,6e-04,-0.00175,NA,NA,NA
"44","403WE0558",-9,-36,0.8833,-8e-04,40,0,1.15,0.2,0,-5,0.01,0,0.4322,-2.5,1.2027,-22.5
"45","403WE0560",0,0,1.0749,0,0,0,-0.007,0.007,0,0,-0.017,-0.0235,1.13085,0,5.2814,0
"46","403WE0682",-2,27,0,-0.0298,-29,-25,-0.832,1.5,-4,-2,0,0.1,0,NA,NA,NA
"47","403WE0683",0,0,0.00625,0,0,0,0.00265,-0.00265,0,0,-4e-04,-6e-04,-0.00305,NA,NA,NA
"48","403WE0795",0,0,-0.0099,0,0,0,0.00495,0.01945,0,0.5,-8e-04,0.00055,0.0286,NA,NA,NA
"49","403WE0809",0,0,0.0119,0,0,0,-3e-04,0.0026,0,0,-0.005,-0.004,0.0343,0,0.0821,0
"50","403WE0891",0,0,0.0018,0,0,0,0,0,0,0,0,0,7e-04,NA,NA,NA
"51","403WE0905",0,0,1.1853,0,0,0,-0.0059,-0.0242,0,0,-0.0148,-0.023,0.70845,0,4.2857,0
"52","403WE1027",-2,-2,0,-0.0298,0,4,0.2,1.5,-4,-9,0,0.1,0,0,0.2175,0
"53","404BA0084",-53,-59,-0.124,-0.3969,-2,-28,-1.4156,0.2,-6,-74,0,0.0971,0.0033,NA,NA,NA
"54","404BA0376",-53,-58,0.2305,-0.7978,-9,4,-0.245,0.2,-12,-62,0,0.3233,0.1278,NA,NA,NA
"55","404BA0526",-53,-59,0.2107,-0.7555,0,-18,-0.4583,0.2,-2,-61,0,0.3633,0.0158,NA,NA,NA
"56","404BA0616",-2,27,0,-0.0298,-29,-25,-0.832,1.5,-4,-2,0,0.1,0,NA,NA,NA
"57","404BA0852",-53,-3,0.231,-0.6233,-2,-29,-2.0443,0.2,-8,-61,0,0.3558,0.0921,NA,NA,NA
"58","404BA0964",-53,-56,0.2157,-0.7014,-2,-22,-2.0698,0.2,-8,-61,0,0.3519,0.0465,NA,NA,NA
