"","stationcode","latitude","longitude"
"147","903WE0798",33.33669,-116.82848
"148","903WE0900",33.33052,-116.81511
"149","905CE0512",33.11137,-116.74386
"150","905M21756",33.05619,-117.04124
"151","905S02561",33.12974,-116.63591
"152","905WE0679",33.13163,-116.6544
"153","905WE1018",33.12423,-116.68157
"154","907M23330",33.00358,-116.70228
"155","907M23331",32.84058,-116.90771
"156","907M23362",32.9918,-116.71432
"157","907M23367",32.96335,-116.66364
"158","907S00577",33.0767,-116.67455
"159","907S01418",32.99254,-116.71771
"160","907S01434",32.90475,-116.62501
"161","907S01610",32.96675,-116.65275
"162","907S03786",32.89421,-116.65844
"163","907SDSDR9",32.83894,-117.04535
"164","909M24925",32.83848,-116.63814
"165","909M24937",32.81935,-116.70775
"166","909SSWR03",32.83521,-116.62203
"167","909WE0662",32.89957,-116.58789
"168","909WE0780",32.92981,-116.55901
"169","909WE1014",32.83213,-116.7265
"170","911M24934",32.76761,-116.65057
"171","911M24949",32.80946,-116.43979
"172","911S00538",32.78123,-116.63207
"173","911S01142",32.73547,-116.65268
"174","911S01818",32.86215,-116.52037
"175","911S02058",32.76142,-116.64257
"176","911S04086",32.67454,-116.57777
"177","LALT501",34.08009,-118.22419
"178","SGLT506",34.06173,-117.99129
"179","SGUR010",34.19498,-117.86114
"180","SGUR103",34.23218,-118.05822
"181","SGUT501",34.2408,-117.8833
"182","SGUT502",34.2283,-117.76593
"183","SGUT503",34.29216,-117.83856
"184","SGUT504",34.2377,-117.8203
"185","SGUT505",34.16939,-117.88932
"186","SMC00080",34.32909,-118.08188
"187","SMC00105",33.74651,-117.58423
"188","SMC00198",32.93709,-117.13851
"189","SMC00271",34.5485,-119.16547
"190","SMC00282",32.8718,-116.61357
"191","SMC00288",34.13118,-117.76
"192","SMC00318",33.81287,-118.20558
"193","SMC00382",34.04437,-117.99413
"194","SMC00428",34.2481,-118.04976
"195","SMC00436",34.149,-118.27863
"196","SMC00464",34.24152,-117.86683
"197","SMC00476",34.24209,-118.13381
"198","SMC00479",34.2634,-119.24095
"199","SMC00480",34.23434,-117.73155
"200","SMC00520",34.29626,-118.28252
"201","SMC00544",34.14677,-117.74153
"202","SMC00608",34.12344,-117.90223
"203","SMC00632",34.14874,-118.55604
"204","SMC00684",34.09698,-118.02373
"205","SMC00710",32.88934,-117.20028
"206","SMC00748",34.07548,-118.0788
"207","SMC00827",34.55734,-119.18833
"208","SMC00873",33.59849,-117.62668
"209","SMC00899",33.71747,-117.7888
"210","SMC00911",34.50797,-119.29854
"211","SMC00924",34.22394,-118.18053
"212","SMC00957",33.96195,-117.37075
"213","SMC00958",33.82532,-117.99894
"214","SMC01040",34.30553,-118.15792
"215","SMC01046",32.79509,-117.18494
"216","SMC01096",34.28465,-118.29343
"217","SMC01155",33.7606,-117.67949
"218","SMC01161",33.44661,-117.25532
"219","SMC01172",34.0816,-118.85826
"220","SMC01196",34.27835,-118.02952
"221","SMC01215",34.33968,-119.06784
"222","SMC01248",34.25895,-117.74499
"223","SMC01257",33.60842,-117.61859
"224","SMC01260",34.06502,-117.97473
"225","SMC01320",34.29856,-118.25082
"226","SMC01341",33.94614,-117.5621
"227","SMC01358",33.90965,-118.24673
"228","SMC01372",34.43437,-118.61386
"229","SMC01413",33.30552,-116.80627
"230","SMC01424",34.24075,-117.81585
"231","SMC01452",34.09095,-118.06675
"232","SMC01454",33.95504,-117.86127
"233","SMC01504",34.25327,-117.71385
"234","SMC01544",34.29729,-118.24843
"235","SMC01550",34.05626,-118.84901
"236","SMC01567",34.50959,-119.38373
"237","SMC01606",32.84198,-117.23481
"238","SMC01656",34.15633,-118.53627
"239","SMC01662",33.9248,-117.95665
"240","SMC01692",34.19798,-118.16972
"241","SMC01694",33.92,-117.90272
"242","SMC01726",33.86351,-117.98816
"243","SMC01748",34.28747,-118.82744
"244","SMC01772",34.11001,-118.1228
"245","SMC01808",34.3094,-118.07316
"246","SMC01860",34.224,-118.97911
"247","SMC01912",34.23429,-118.60295
"248","SMC01934",33.49,-117.66595
"249","SMC01960",34.26554,-118.75916
"250","SMC01987",33.59028,-117.71185
"251","SMC01990",32.79653,-117.11327
"252","SMC02028",34.12868,-118.16553
"253","SMC02075",34.6719,-119.03758
"254","SMC02088",34.30226,-118.25959
"255","SMC02092",34.27948,-118.20684
"256","SMC02139",34.6714,-119.01717
"257","SMC02152",34.09801,-118.7217
"258","SMC02206",33.87098,-117.85002
"259","SMC02228",34.06933,-118.22427
"260","SMC02270",33.79573,-117.77241
"261","SMC02302",33.8153,-118.04128
"262","SMC02436",34.26279,-118.97199
"263","SMC02536",34.26861,-118.6736
"264","SMC02568",34.27866,-118.22031
"265","SMC02591",34.51783,-119.37846
"266","SMC02712",34.36179,-118.30348
"267","SMC02884",34.21749,-118.98533
"268","SMC02902",32.94907,-117.06443
"269","SMC02972",34.24957,-118.0755
"270","SMC02984",34.26528,-118.75053
"271","SMC03011",33.6145,-117.6955
"272","SMC03216",34.28092,-117.84093
"273","SMC03268",34.16255,-119.06301
"274","SMC03280",34.25685,-117.85652
"275","SMC03438",33.93708,-117.79252
"276","SMC03523",33.58478,-117.66437
"277","SMC03944",34.14271,-118.75016
"278","SMC03984",34.24613,-117.90186
"279","SMC04000",34.23282,-117.74777
"280","SMC04008",34.28342,-118.80803
"281","SMC04134",32.82874,-117.05243
"282","SMC04175",34.40835,-119.27642
"283","SMC04204",34.20358,-118.01853
"284","SMC04239",34.3608,-119.31114
"285","SMC04264",34.13,-118.7548
"286","SMC04294",32.93776,-117.14172
"287","SMC04308",34.19349,-118.9083
"288","SMC04383",34.50224,-119.35602
"289","SMC04426",33.00696,-116.66995
"290","SMC04682",32.97115,-116.64814
"291","SMC04748",34.41314,-118.65879
"292","SMC04749",33.85826,-117.21321
"293","SMC04750",34.041,-118.58149
"294","SMC04756",34.27092,-118.9269
"295","SMC04806",32.89036,-117.19358
"296","SMC04880",34.30884,-118.09829
"297","SMC05146",32.84526,-116.61346
"298","SMC05199",34.40412,-119.28071
"299","SMC05230",33.87308,-117.75077
"300","SMC05296",34.55457,-118.77525
"301","SMC05402",32.80468,-116.57311
"302","SMC05702",32.83209,-117.22954
"303","SMC05759",34.35232,-119.03474
"304","SMC05902",34.03432,-118.51218
"305","SMC05956",34.22875,-118.97109
"306","SMC06079",34.41108,-119.08213
"307","SMC06216",34.27407,-118.31518
"308","SMC06298",32.91213,-116.57126
"309","SMC06302",33.86699,-117.85366
"310","SMC06356",34.20156,-118.91158
"311","SMC06467",33.79118,-117.71782
"312","SMC06740",34.1807,-118.87436
"313","SMC06794",32.83039,-116.64687
"314","SMC06863",34.49417,-119.30534
"315","SMC06918",32.78184,-117.184
"316","SMC06926",34.04799,-118.51137
"317","SMC07126",32.84359,-117.03457
"318","SMC08094",33.81951,-117.8536
"319","SMC08150",32.83731,-117.01975
"320","SMC08335",34.34583,-119.29948
"321","SMC08540",34.44828,-118.61769
"322","SMC08655",34.50823,-119.28406
"323","SMC08766",33.90192,-118.10859
"324","SMC08845",33.87309,-117.21355
"325","SMC09118",33.80876,-117.86259
"326","SMC09286",32.78194,-117.11419
"327","SMC09503",34.49757,-119.33913
"328","SMC09534",33.83832,-118.09487
"329","SMC09564",34.4322,-118.59397
"330","SMC10685",34.01879,-117.36873
"331","SMC11343",34.3728,-119.30859
"332","SMC11384",34.09552,-118.66521
"333","SMC11727",34.47857,-119.29339
"334","SMC12814",34.04892,-118.84641
"335","SMC12862",33.92148,-118.11149
"336","SMC13062",32.7755,-117.19557
"337","SMC13214",33.80453,-117.87242
"338","SMC13599",34.49889,-119.34172
"339","SMC13630",33.86119,-118.10351
"340","SMC14099",33.62772,-117.73558
"341","SMC15678",33.80989,-118.09075
"342","SMC16446",34.41319,-119.27282
"343","SMC16832",33.88444,-118.10855
"344","SMC16980",34.43268,-119.24974
"345","SMC17056",34.4263,-118.5779
"346","SMC17692",34.41887,-118.63264
"347","SMC18545",34.48452,-119.30834
"348","SMC19697",34.34807,-119.30096
"349","SMC19809",34.50141,-119.3531
"350","SMC19945",34.50486,-119.28186
"351","SMC20032",33.87664,-118.10774
"352","SMC20092",34.4141,-118.65608
"353","SMC20994",34.03639,-118.51129
"354","SMC21382",34.40663,-118.6694
"355","SMC21796",33.99108,-118.40916
"356","SMC21822",33.87234,-117.70876
"357","SMC24222",33.87151,-117.71724
"358","SMC29064",33.79564,-116.7426
"359","SMC32897",33.86921,-117.21318
"360","SMC34888",33.77386,-117.68432
"361","SMC35837",33.7364,-116.8261
"362","SMC40887",33.76317,-117.46378
"363","SMCR8_007",34.0952,-116.96447
"364","SMCR8_011",33.850751,-117.7835252
"365","SMCR8_012",33.91909,-117.82201
"366","SMCR8_019",33.92417,-117.59778
"367","SMCR8_020",33.76698,-116.6902
"368","SMCR8_025",34.1739,-116.9839
"369","SMCR8_028",34.2026,-117.44583
"370","SMCR8_034",34.08909,-116.92669
"371","SMCR8_035",34.08193,-116.89027
"372","SMCR8_042",33.94623,-117.61423
"373","SMCR8_046",33.79096,-117.71949
"374","SMCR8_048",33.71756,-117.78945
"375","SMCR8_057",34.25033,-117.54376
"376","SMCR8_062",34.21257,-117.45844
"377","SMCR8_069",34.2481,-117.51276
"378","SMCR8_070",33.77122,-116.7675
"379","SMCR8_071",33.75347,-117.67887
"380","SMCR8_074",34.08167,-116.8887
"381","SMCR8_080",34.1584,-116.88742
"382","SMCR8_105",34.25265,-117.4925
"383","SMCR8_106",34.15508,-116.88528
"384","SMCR8_118",34.27906,-117.47566
"385","SMCR8_142",33.77361,-117.68839
"386","SMCR8_147",33.79427,-116.74714
"387","SMCR8_149",33.76593,-117.67927
"388","SMCR8_151",33.98873,-117.39614
"389","SMCR8_153",33.82397,-117.50602
"390","SMCR8_155",33.80703,-116.77699
"391","SMCR8_160",33.73134,-116.8102
"392","SMCR8_162",33.73786,-117.4173
"393","SMCR8_163",33.79478,-116.74829
"394","SMCR8_172",33.78651,-116.8323
"395","SMCR8_203",34.18658,-116.91801
"396","SMCR8_218",33.80978,-116.7403
"397","SMCR8_219",34.11105,-116.99195
"398","SMCR8_267",33.67606,-116.67871
"399","SMCR8_270",33.72944,-116.74809
"400","SMCR8_272",34.08788,-116.91434
"401","SMCR8_346",34.23613,-117.49604
"402","SMCR8_351",33.97295,-117.51806
"403","SMCR8_362",34.23904,-117.49896
"404","SMCR8_370",34.10015,-117.02393
"405","SMCR8_375",33.75657,-116.70164
"406","SMCR8_419",33.74266,-116.71364
"407","SMCR8_446",34.18543,-117.18567
"408","SMCR8_453",33.73882,-116.82834
"409","SMCR8_474",34.24826,-117.62775
"410","SMCR8_480",33.80402,-118.08385
"411","SMCR8_496",33.68738,-116.68416
"412","SMCR8_513",33.71777,-116.76274
"413","SMCR8_528",33.87273,-117.71305
"414","SMCR8_530",34.17834,-116.90881
"415","SMCR8_543",33.80281,-116.73208
"416","SMCR8_587",33.72206,-116.80423
"417","SMCR8_605",33.73776,-116.72825
"418","SMCR8_635",33.80349,-116.78271
"419","SMCR8_688",33.75289,-116.70609
"420","SMCR8_713",34.24908,-117.63127
